 03-05-58-94 ,  28013 ,  21.87301 ,  -102.2584  
 04-05-29-04 , 6790694 ,  21.88275 ,  -102.2583 
 07-42-68-66 ,  36324 ,  21.88395 ,  -102.2971  
 12-54-30-22 ,  52082 ,  21.88918 ,  -102.2517  
 17-23-45-49 , 6282263 ,  21.87438 ,  -102.2553 
 18-90-43-80 ,   48987 ,  22.07548 ,  -102.2734 
 20-39-37-73 ,   29226 ,  21.87352 ,  -102.2464 
 22-93-40-85 ,    7565 ,  21.89292 ,  -102.2750 
 23-97-42-63 ,    1819 ,  21.89342 ,  -102.3156 
 31-01-70-00 ,    8221 ,  21.89126 ,  -102.2725 
 32-78-66-91 ,   25930 ,  22.07807 ,  -102.2727 
 37-67-74-84 ,   51662 ,  21.88889 ,  -102.2739 
 39-20-84-48 ,  99999528 ,  21.87890 ,  -102.2929 
 41-05-66-05 ,   51653 ,  21.88925 ,  -102.2739  
 41-72-60-47 ,   6886730 ,  21.79579 ,  -102.7152 
 47-44-56-58 ,    8292 ,  21.88743 ,  -102.2726  
 48-40-47-85 ,   6282322 ,  21.89054 ,  -102.2739 
 52-81-44-27 ,   51657 ,  21.88925 ,  -102.2736  
 53-98-17-94 ,   6758020 ,  22.09442 ,  -102.2964 
 59-86-22-78 ,   25962 ,  22.07687 ,  -102.2730  
 60-62-73-58 ,  99999540 ,  21.87863 ,  -102.3124 
 65-31-27-49 ,   27688 ,  21.89126 ,  -102.2725  
 67-78-81-26 ,   49755 ,  20.53786 ,  -102.3842  
 69-25-05-13 ,   10355 ,  21.87609 ,  -102.2546  
 70-15-01-95 ,    8295 ,  21.88676 ,  -102.2728  
 72-22-26-38 ,    5175 ,  21.87007 ,  -102.2954  
 75-96-72-76 ,   6166248 ,  22.16778 ,  -102.3456 
 78-93-50-99 ,    8249 ,  21.89325 ,  -102.2707  
 83-39-13-04 ,    8225 ,  21.89126 ,  -102.2725 
 84-05-91-99 ,   6758020 ,  22.09415 ,  -102.2962 
